part_id,stock_level,cost_price,entry_date
SP-236,5,287.32,2024-06-29
SP-325,248,388.87,2025-03-17
SP-179,82,109.0,2025-04-14
SP-332,171,419.6,2025-05-10
SP-268,72,279.69,2024-04-08
SP-305,0,422.36,2024-02-20
SP-272,377,438.77,2024-09-03
SP-312,247,203.6,2024-05-28
SP-328,381,137.9,2025-01-22
SP-310,160,190.36,2024-11-09
SP-341,5,132.0,2024-03-28
SP-377,237,45.49,2025-02-21
SP-155,60,69.0,2025-04-26
SP-176,214,285.43,2024-04-07
SP-245,0,326.83,2024-08-25
SP-335,392,221.51,2025-03-15
SP-495,488,372.35,2024-10-08
SP-274,43,27.54,2024-07-13
SP-440,15,376.45,2024-01-31
SP-371,19,168.26,2025-02-19
SP-364,326,137.34,2024-12-25
SP-452,487,221.87,2024-07-31
SP-396,5,58.0,2024-03-04
SP-276,5,59.59,2024-09-29
SP-245,5,74.69,2025-04-16
SP-344,249,412.76,2024-10-06
SP-414,292,215.44,2024-02-08
SP-224,182,72.0,2024-04-17
SP-149,229,262.0,2025-07-26
SP-224,357,186.78,2024-03-02
SP-167,99,48.0,2025-07-24
SP-252,250,185.44,2024-02-08
SP-354,175,234.83,2024-02-19
SP-456,418,39.53,2025-06-06
SP-236,144,352.37,2024-08-06
SP-250,104,56.23,2024-08-20
SP-466,195,303.98,2024-12-14
SP-391,438,200.14,2024-09-04
SP-328,415,406.01,2024-07-20
SP-277,365,74.91,2025-02-06
SP-447,152,98.72,2025-05-16
SP-225,380,394.09,2024-11-04
SP-475,394,181.14,2024-01-27
SP-169,229,111.89,2024-03-31
SP-116,266,415.34,2025-03-29
SP-116,98,82.96,2024-07-21
SP-436,130,220.6,2024-11-20
SP-300,236,258.97,2025-03-05
SP-328,43,317.08,2024-09-22
SP-204,48,242.0,2024-04-04
SP-488,450,49.97,2024-02-15
SP-102,0,26.39,2024-04-15
SP-288,397,94.98,2025-05-14
SP-168,108,56.71,2024-08-21
SP-183,84,154.24,2024-06-12
SP-415,299,441.94,2025-06-13
SP-282,169,407.59,2025-04-15
SP-270,469,360.0,2024-05-02
SP-157,0,293.33,2024-03-08
SP-455,282,45.24,2025-06-03
SP-249,479,168.0,2024-06-09
SP-161,5,419.69,2024-09-20
SP-373,90,78.0,2024-09-30
SP-170,247,284.67,2024-02-21
SP-449,81,221.0,2024-01-25
SP-210,498,355.0,2024-04-07
SP-477,70,434.16,2025-01-18
SP-119,137,21.31,2025-01-22
SP-152,71,437.67,2024-09-17
SP-353,312,85.21,2024-03-20
SP-443,369,122.13,2024-08-19
SP-227,396,74.93,2025-02-07
SP-240,183,214.66,2024-07-31
SP-266,208,391.0,2025-02-04
SP-204,229,349.0,2024-01-03
SP-386,5,198.0,2024-09-08
SP-332,116,330.24,2024-01-15
SP-131,0,410.16,2024-08-25
SP-161,322,20.11,2025-01-24
SP-268,150,347.44,2024-08-12
SP-300,0,5.31,2024-08-24
SP-363,186,200.74,2024-07-07
SP-238,286,141.65,2024-10-24
SP-444,142,74.31,2024-09-17
SP-389,72,115.0,2025-04-06
SP-259,0,182.28,2024-12-01
